archivo,title,description,summary,activity_code
"cual-es-la-mas-aterradora.md","¿Cuál es la Más Aterradora de Todas?","Comparte ideas sobre cuál amenaza natural consideras más aterradora y diseña un superpoder para protegerte de ella.","Reflexión sobre amenazas y superpoderes.","rrd-A03"
"transmitiendo-datos-sobre-el-suelo.md","Transmitiendo Datos sobre el Suelo","Crea una exhibición pública sobre el suelo y su degradación.","Exhibición pública sobre el suelo.","suelos-D02"
"lista-seguridad-electrica.md","Lista de seguridad eléctrica","Crea una lista de verificación de seguridad eléctrica para tu hogar y escuela, y aprende a mantenerte seguro alrededor de la electricidad.","Aprende a estar seguro con la electricidad.","energia-C10"
"impresiones-de-esporas.md","Impresiones de esporas","Recolección y creación de impresiones de esporas de diferentes especies de hongos para aprender sobre su diversidad.","Crear impresiones de esporas de hongos.","biodiversidad-A08"
"planta-un-arbol.md","","","",""
"simulando-limpieza-petroleo.md","Simulando Limpieza de Petroleo","Los participantes simulan la limpieza de un derrame de petróleo utilizando diferentes materiales absorbentes y dispersantes, comprendiendo la dificultad de esta tarea.","Simula la limpieza de un derrame de petróleo.","agua-C45"
"energia-en-los-alimentos.md","Energía en los alimentos","Crea un juego de cartas para relacionar alimentos con la energía usada en su producción, desde la pesca hasta los fertilizantes.","Descubre la energía oculta en tu comida.","energia-C14"
"encuesta-sobre-el-suelo.md","Encuesta sobre el Suelo","Pregunta a las personas sobre el rol del suelo en sus vidas y crea una exposición.","Encuesta sobre la importancia del suelo.","suelos-B01"
"los-biomas-son-hogares.md","Los Biomas son Hogares","Aprende sobre diferentes biomas forestales, sus características y ubicación. Comparte tus respuestas con tu grupo.","Investigación sobre biomas forestales.","bosques-A02"
"habitos-saludables-personas-saludables.md","Hábitos Saludables, Personas Saludables","Los participantes aprenden sobre la transmisión de enfermedades y la importancia de los hábitos de higiene a través de un juego interactivo que simula cómo se propagan los gérmenes.","Juego sobre la transmisión de enfermedades.","agua-D42"
"arte-de-reutilizar-plastico.md","El Arte de Reutilizar","Los jóvenes recolectan plásticos desechados y los transforman en obras de arte, desarrollando su creatividad mientras reflexionan sobre el reciclaje y la reutilización de residuos plásticos.","Crea arte con plásticos reutilizados.","plastics-P07"
"pescado-sostenible.md","Pescado sostenible","Visita a un supermercado para identificar productos pesqueros sostenibles y crear un póster para promover su consumo.","Identificar y promover pescado sostenible.","biodiversidad-B19"
"conociendo-a-los-insectos.md","Conociendo a los Insectos","Investiga un organismo del suelo y crea un póster sobre su rol en el ecosistema.","Investigación de organismos del suelo.","suelos-A05"
"anillos-anuales.md","Anillos Anuales","Examina un tocón o tronco cortado para contar sus anillos de crecimiento. Determina la edad del árbol y su historia.","Investigación de anillos de crecimiento en árboles.","bosques-A07"
"purificacion-agua-sodis.md","Purificación de agua (SODIS)","Purifica agua usando la energía del Sol con el método SODIS, aprendiendo una técnica simple y efectiva para potabilizar agua.","Purifica agua con energía solar.","gosolar-C03"
"especies-locales-polinizadores.md","Especies locales","Investigación de las principales especies de polinizadores en tu región y creación de un ensayo fotográfico.","Investigar polinizadores locales.","polinizadores-A07"
"modelo-de-humedal.md","Modelo de Humedal","Los participantes construyen un modelo de humedal para aprender sus funciones: control de inundaciones, purificación de agua y hábitat para la vida silvestre.","Construye un modelo de humedal.","agua-A50"
"exploracion-de-arroyo-o-estanque.md","Exploración de arroyo o estanque","Exploración de un arroyo o estanque para examinar la vida acuática y evaluar la calidad del agua.","Explorar la vida en arroyos y estanques.","biodiversidad-B07"
"camisetas-sucias.md","Camisetas Sucias","Investiga de dónde vienen los materiales de tu ropa favorita.","Investigación de fibras y suelo.","suelos-B05"
"sedimento-sucio.md","Sedimento Sucio","Los participantes crean un modelo de cuenca para explorar cómo la sedimentación afecta los cuerpos de agua y cómo la erosión del suelo puede impactar negativamente en la vida acuática.","Explora cómo la sedimentación afecta el agua.","agua-C32"
"control-zona-riberena.md","Control de la Zona Ribereña","Los participantes aprenden sobre las zonas ribereñas y su función en el mantenimiento de ecosistemas acuáticos saludables a través de juegos y actividades prácticas.","Aprende sobre las zonas ribereñas.","agua-C35"
"tarjetas-de-felicitacion-recicladas.md","Tarjetas de felicitación recicladas","Haz tarjetas con materiales reutilizados y explica la importancia del reciclaje.","Tarjetas recicladas.","sacc-C15"
"objetos-y-sus-origenes.md","Objetos y sus orígenes","Identificación de objetos cotidianos que se originan en la biodiversidad y creación de un collage.","Identificar orígenes de objetos en la biodiversidad.","biodiversidad-D09"
"cine-y-plastico.md","Cine y plástico: aprendiendo con películas","Ve un documental sobre contaminación plástica y organiza un debate para inspirar a otros a reducir el uso de plásticos de un solo uso.","Aprende sobre plásticos viendo documentales.","plastics-B05"
"la-seguridad-alimentaria-en-accion.md","La Seguridad Alimentaria en Acción","Visita una granja, planta de alimentos, restaurante o tienda para aprender cómo se manipulan los alimentos de manera segura.","Visita para aprender sobre seguridad alimentaria.","nutricion-C02"
"acuerdos-internacionales.md","Acuerdos internacionales","Investigación de acuerdos internacionales que protegen la biodiversidad y creación de una obra de teatro o póster.","Investigar acuerdos internacionales sobre biodiversidad.","biodiversidad-D15"
"intercambios.md","Intercambios","Organiza un intercambio o campamento de verano con otro grupo que trabaje en temas de malnutrición.","Intercambio juvenil sobre nutrición.","nutricion-E16"
"el-debate-sobre-la-mg.md","El Debate sobre la MG","Investiga y debate sobre la modificación genética en la agricultura.","Debate sobre modificación genética.","suelos-C13"
"sonidos-y-senales.md","Sonidos y Señales","Realiza una misión de observación temprano en la mañana en un bosque. Escucha sonidos de animales, busca huellas y pistas.","Observación de animales del bosque a través de sonidos y rastros.","bosques-A03"
"choque-de-culturas.md","Choque de Culturas","Investiga los hábitos alimenticios de otros países y culturas, y compáralos con los tuyos.","Comparación de hábitos alimenticios entre culturas.","nutricion-B04"
"viajeros-del-aire.md","Viajeros del aire","Actividad para observar cómo animales y plantas viajan por el aire, dibujando rasgos que permiten el movimiento aéreo.","Observar cómo animales y plantas viajan por el aire.","biodiversidad-A03"
"identificando-alternativas-plastico.md","Identificando alternativas a los plásticos","Los jóvenes identifican productos plásticos de un solo uso y buscan alternativas sostenibles, aprendiendo a reducir su consumo de plásticos en la vida cotidiana.","Encuentra alternativas sostenibles a los plásticos.","plastics-P09"
"juego-agua-caliente.md","Juego del Agua Caliente","Los participantes aprenden vocabulario clave relacionado con los problemas globales del agua a través de un juego interactivo que explora conceptos como escasez, saneamiento y derechos humanos.","Juego de vocabulario sobre el agua.","agua-C50"
"aguas-en-literatura.md","Aguas en Literatura","Lee una novela donde el agua sea importante y escribe una reseña.","Reseña literaria sobre el agua.","agua-A14"
"bosques-en-llamas.md","Bosques en Llamas","Averigua cómo tu municipalidad y/o tu país maneja los incendios forestales. Comparte tus ideas con tu grupo.","Investigación sobre el manejo de incendios forestales.","bosques-D13"
"adopta-un-rio-o-lago.md","Adopta un río o lago","Adopta un río, lago u otra área, límpialo y monitorea su recuperación.","Adopción de área natural.","sacc-C33"
"tu-cuerpo-de-agua-favorito.md","Tu Cuerpo de Agua Favorito","Los participantes organizan un concurso de fotografía para descubrir el cuerpo de agua favorito de su escuela o grupo, reflexionando sobre la importancia de proteger los recursos hídricos locales.","Concurso de fotografía sobre el agua.","agua-E42"
"construyendo-de-mejor-manera.md","Construyendo de Mejor Manera","Diseña y construye un modelo de un edificio resiliente a todo tipo de amenazas.","Modelo de edificio resiliente a desastres.","rrd-B02"
"el-clima-de-tu-comunidad.md","El clima de tu comunidad","Actividad obligatoria de investigación sobre el clima local, sus características y cómo el cambio climático podría afectar a la comunidad.","Investigación sobre el clima local y sus impactos.","cambioclimatico-A02"
"extrayendo-el-agua-dulce.md","Extrayendo el Agua Dulce","Extrae agua dulce del agua salada usando un proceso de evaporación y condensación.","Extracción de agua dulce del agua salada.","oceano-A07"
"geiseres-y-aguas-termales.md","Géiseres y aguas termales","Investiga fuentes de energía geotérmica en tu área (géiseres, aguas termales) o estudia un ejemplo famoso como el géiser Old Faithful.","Explora la energía geotérmica.","energia-B05"
"presiones-pintadas.md","Presiones Pintadas","Crea arte para mostrar las diferentes presiones que enfrentan los suministros de agua.","Arte sobre las presiones del agua.","agua-C04"
"construi-la-ciudad-de-tus-suenos.md","Construí la ciudad de tus sueños","Los participantes imaginan y diseñan una ciudad sostenible, aplicando conceptos de los ODS y reflexionando sobre cómo vivir de manera más sostenible en su comunidad.","Diseña una ciudad sostenible.","mundomejor-E03"
"que-empiece-el-juego.md","¡Que Empiece el Juego!","Registra tu actividad física diaria, compárala con tu grupo y planifica nuevos deportes de equipo.","Seguimiento de actividad física y planificación deportiva.","nutricion-A02"
"acidificacion-del-oceano.md","Acidificación del Océano","Experimento para entender cómo la acidificación del océano afecta a la vida marina, especialmente a los organismos con conchas.","Experimento sobre acidificación oceánica.","oceano-D05"
"acampada-bajo-impacto.md","Acampada de bajo impacto","Planifica y realiza una acampada con conciencia energética, minimizando tu huella de carbono y siendo eficiente.","Acampa cuidando el medio ambiente.","energia-E16"
"cocina-solar.md","Cocina solar","Construye un horno solar o una turbina de agua para cocinar al aire libre usando la energía del Sol o del agua.","Cocina usando energía solar.","energia-C09"
"perspectiva-femenina.md","Perspectiva Femenina","Entrevista a mujeres sobre sus ideas para la recuperación y reconstrucción después de desastres.","Perspectivas de mujeres sobre recuperación.","rrd-C06"
"campana-escolar-polinizadores.md","Campaña escolar","Lanzamiento de una campaña mensual en la escuela para crear conciencia sobre los polinizadores y tomar acciones concretas.","Organizar una campaña escolar sobre polinizadores.","polinizadores-D09"
"poderes-de-persuasion.md","Poderes de persuasión","Crea una campaña de concientización sobre plásticos en un área comercial local usando carteles y redes sociales.","Concientiza a tu comunidad sobre los plásticos.","plastics-C02"
"productos-reciclables.md","Productos reciclables","Averigua qué productos son reciclables en tu vecindario.","Investigación de reciclaje local.","sacc-A33"
"entendiendo-los-pesticidas.md","Entendiendo los pesticidas","Investigación sobre los pesticidas más dañinos para los polinizadores y sus alternativas no tóxicas.","Investigar pesticidas y alternativas seguras.","polinizadores-C08"
"reduccion-de-papel-en-la-escuela.md","Reducción de papel en la escuela","Reduce el uso de papel en la escuela.","Reducción de papel escolar.","sacc-A23"
"descubriendo-desastres.md","Descubriendo Desastres","Investiga un desastre reciente y analiza sus labores de recuperación.","Análisis de un desastre reciente.","rrd-C07"
"visita-al-tiradero-de-basura.md","Visita al tiradero de basura","Visita el tiradero de basura local y analiza su sostenibilidad.","Visita a tiradero de basura.","sacc-C23"
"gafas-de-alimentos.md","¡Caminando con gafas de alimentos puestas!","Los participantes caminan por el barrio buscando objetos relacionados con la producción y consumo de alimentos, y reflexionan sobre la sostenibilidad de las cadenas alimentarias.","Descubre el camino de los alimentos.","cfn-A04"
"fotografia-de-la-naturaleza.md","Fotografía de la naturaleza","Exploración y documentación fotográfica de espacios verdes urbanos para crear una exposición que promueva su importancia.","Fotografiar espacios verdes urbanos.","ciudadesverdes-B05"
"se-un-polinizador.md","Sé un polinizador","Experimentá la polinización en primera persona, realizando el trabajo de un polinizador para comprender su importancia.","Polinizar flores manualmente.","polinizadores-A04"
"inicio-de-los-plasticos.md","Inicio de los plásticos (Plásticos - Antes y ahora)","Una actividad que ayuda a los jóvenes a comprender que el uso masivo del plástico es un fenómeno relativamente reciente, comparando el consumo actual con el de generaciones pasadas y reflexionando sobre alternativas.","Investiga cómo el plástico reemplazó a los productos naturales en la vida cotidiana.","plastics-P05"
"biodegradable-o-no.md","¿Biodegradable o no?","Experimento práctico para descubrir qué objetos son biodegradables y cuáles no, enterrándolos en el suelo durante dos semanas.","Descubre qué materiales se descomponen naturalmente.","plastics-A05"
"energia-creativa.md","Energía creativa","Escribe una historia corta sobre una forma innovadora de generar electricidad, como una bicicleta que genera energía, y dibuja o construye un modelo.","Imagina nuevas formas de generar energía.","energia-D03"
"comestibles-energetico.md","Comestibles energéticos","Investigación sobre la energía necesaria para producir diferentes alimentos y preparación de una comida de bajo consumo energético.","Investigar energía en alimentos y cocinar bajo consumo.","cambioclimatico-B12"
"proyecto-de-plantacion-de-arboles.md","Proyecto de plantación de árboles","Forma parte de un proyecto para plantar árboles.","Plantación de árboles.","sacc-C26"
"carta-energias-renovables.md","Carta por las energías renovables","Investiga el porcentaje de energía renovable en tu país y escribe una carta al gobierno pidiendo más inversión en energías limpias.","Escribe al gobierno sobre energías renovables.","energia-B11"
"album-sobre-usos-del-oceano.md","Álbum sobre Usos del Océano","Crea un álbum sobre los diferentes usos del océano y los productos que provienen de él.","Álbum sobre usos del océano.","oceano-C03"
"haciendo-olas.md","Haciendo Olas","Experimenta cómo se forman las olas usando una bandeja, agua y un abanico.","Experimento sobre la formación de olas.","oceano-A03"
"mapa-de-contaminacion.md","Mapa de contaminación","Creación de un mapa comunitario para identificar fuentes de contaminación y sus impactos en la biodiversidad.","Mapear fuentes de contaminación en la comunidad.","biodiversidad-A17"
"proteccion-contra-la-contaminacion.md","Protección contra la Contaminación","Crea un póster sobre los efectos de la contaminación en el suelo.","Póster sobre contaminación del suelo.","suelos-D07"
"expedicion-cambio-climatico.md","Expedición al Cambio Climático","Los participantes exploran cómo el cambio climático afecta la disponibilidad de agua en todo el mundo a través de la lectura y discusión de un texto sobre sequías extremas.","Explora el impacto del cambio climático en el agua.","agua-C47"
"olas-verdes.md","","","",""
"proteccion-contra-tormentas.md","Protección contra tormentas","Investigación sobre cómo los ecosistemas marinos protegen a las regiones costeras de tormentas y su valor para las comunidades.","Investigar protección costera por ecosistemas marinos.","biodiversidad-B16"
"carteles-en-el-parque.md","Carteles en el parque","Creación y colocación de carteles informativos sobre polinizadores en un parque local.","Colocar carteles sobre polinizadores en un parque.","polinizadores-D05"
"auditoria-personal-del-agua.md","Auditoría Personal del Agua","Los participantes realizan una auditoría personal de su uso diario del agua, calculando cuántos litros consumen y reflexionando sobre la importancia de conservar este recurso.","Calcula tu consumo personal de agua.","agua-B34"
"agua-embotellada.md","Agua embotellada","Investiga si el agua del grifo es segura y deja de comprar agua embotellada.","Reducción del consumo de agua embotellada.","sacc-B02"
"jardin-amigo-de-la-biodiversidad.md","Jardín amigo de la biodiversidad","Creación de un jardín que ofrezca hogares para diferentes especies utilizando objetos reciclados.","Crear un jardín para biodiversidad.","biodiversidad-C23"
"la-encuesta-de-los-habitos-alimenticios.md","La Encuesta de los Hábitos Alimenticios","Realiza una encuesta sobre hábitos alimenticios en tu comunidad y analiza los resultados.","Encuesta sobre hábitos alimenticios.","nutricion-E10"
"tratamiento-del-agua.md","Tratamiento del Agua","Los participantes aprenden cómo el agua entra y sale de los hogares, y cómo es tratada antes y después de su uso a través de una visita o charla con un experto local.","Aprende cómo se trata el agua.","agua-B41"
"cambio-climatico-y-agricultura.md","Cambio climático y agricultura","Actividad obligatoria para analizar cómo el cambio climático afecta la producción de alimentos y la seguridad alimentaria.","Analizar impactos del cambio climático en la agricultura.","cambioclimatico-C02"
"observaciones-astronomicas.md","Observaciones astronómicas","Investigación sobre cómo la órbita de la Tierra y su inclinación afectan el clima a lo largo de decenas de miles de años.","Investigar la órbita de la Tierra y su influencia en el clima.","cambioclimatico-B16"
"polinizadores-y-contaminacion.md","Polinizadores y contaminación","Investigación sobre la contaminación del aire y su efecto en los polinizadores, y el impacto de las ondas electromagnéticas.","Investigar contaminación y su efecto en polinizadores.","polinizadores-C09"
"necesidades-y-deseos.md","Necesidades y Deseos","Los participantes reflexionan sobre la diferencia entre necesidades y deseos, y discuten por qué el acceso al agua potable y al saneamiento son considerados derechos humanos fundamentales.","Reflexiona sobre necesidades y deseos.","agua-D34"
"comidamania.md","Comidamanía","Reflexiona sobre tus elecciones de alimentos y planifica una comida sostenible con tu grupo.","Planificación de una comida sostenible.","nutricion-D01"
"tus-ods.md","Tus ODS","Propón tus propios Objetivos de Desarrollo Sostenible para abordar el hambre después del 2015.","Propuesta de nuevos Objetivos de Desarrollo Sostenible.","hambre-D09"
"como-afecta-contaminacion-naturaleza.md","¿Cómo Afecta la Contaminación a la Naturaleza?","Los participantes investigan los efectos de diferentes contaminantes en el crecimiento de las plantas a través de un experimento con semillas de frijol.","Experimento sobre contaminación y plantas.","agua-D39"
"como-pescan-los-pescadores.md","Cómo Pescan los Pescadores","Organiza un debate sobre la sostenibilidad de diferentes métodos y equipos de pesca.","Debate sobre sostenibilidad pesquera.","oceano-C07"
"agua-crecimiento-humano.md","Agua y Crecimiento Humano","Los participantes reflexionan sobre cómo el crecimiento de la población afecta los recursos hídricos a través de un ejercicio de dibujo que muestra los cambios en un ecosistema lacustre.","Dibuja cómo el crecimiento humano afecta el agua.","agua-C49"
"la-seguridad-es-primero.md","La Seguridad es Primero","Aprende sobre normas de seguridad y protección para trabajadores forestales. Crea una lista de control de seguridad para el bosque.","Lista de control de seguridad forestal.","bosques-B03"
"como-podemos-solucionarlo.md","¿Cómo podemos solucionarlo?","Los participantes identifican problemáticas locales, las relacionan con los ODS y diseñan un proyecto o campaña para abordarlas.","Identifica y soluciona problemáticas locales.","mundomejor-E01"
"cantad-una-cancion-con-accion.md","Cantad una Canción con Acción","Compón y canta una canción con movimientos sobre la importancia de la actividad física y la nutrición.","Canción con acción sobre salud.","nutricion-E03"
"aves-migratorias.md","Aves migratorias","Observación de aves migratorias en parques o áreas protegidas para aprender sobre sus especies y cantos.","Observar aves migratorias en su hábitat.","biodiversidad-A04"
"vegetacion-unica.md","Vegetación Única","Durante una caminata por el bosque, dibuja cinco tipos diferentes de vegetación y señala sus rasgos únicos.","Dibujo y observación de vegetación forestal.","bosques-A12"
"climas-cambiantes.md","Climas Cambiantes","Investiga la conexión entre el suelo y el cambio climático.","Suelo y cambio climático.","suelos-B14"
"medios-de-subsistencia-alternativos.md","Medios de Subsistencia Alternativos","Lista productos forestales que las personas usan para su subsistencia. Inventa un juego educativo sobre productos forestales.","Juego educativo sobre productos forestales para subsistencia.","bosques-B02"
"de-donde-viene-tu-comida.md","¿De Dónde Viene tu Comida?","Investiga el origen de los alimentos que comes y su impacto medioambiental.","Investigación sobre el origen de los alimentos.","nutricion-D10"
"guion-grafico-sobre-la-trampa-del-hambre.md","Guión Gráfico sobre la Trampa del Hambre","Crea un personaje atrapado en la trampa del hambre y dibuja un guión gráfico con tres caminos hacia el círculo virtuoso.","Creación de un guión gráfico sobre la trampa del hambre.","hambre-C02"
"el-baile-del-agua.md","El Baile del Agua","Crea una coreografía inspirada en los movimientos del agua.","Coreografía sobre el movimiento del agua.","agua-A08"
"barra-de-nectar.md","Barra de néctar","Creación de un jardín con plantas que florecen en diferentes épocas para alimentar abejas, avispas y moscas.","Crear un jardín para polinizadores.","biodiversidad-A07"
"piramide-de-alimentos.md","Pirámide de alimentos","Los participantes reflexionan sobre su dieta, comparan su consumo con la pirámide alimentaria recomendada y analizan el impacto ambiental de sus elecciones alimentarias.","Analiza tu dieta y su impacto ambiental.","cfn-A09"
"tus-frutas-y-verduras-favoritas.md","Tus frutas y verduras favoritas","Investigación sobre las frutas y verduras favoritas y su relación con los polinizadores.","Investigar frutas y verduras y su polinización.","polinizadores-B01"
"examina-tu-cocina.md","Examina tu Cocina","Inspecciona tu cocina y los lugares donde guardas la comida para mejorar la seguridad alimentaria en casa.","Inspección de seguridad alimentaria en la cocina.","nutricion-C01"
"observa-tu-agua.md","Observa tu Agua","Monitorea y reduce el uso de agua en tu hogar durante una semana.","Monitoreo de consumo de agua en el hogar.","agua-B01"
"intercambio-internacional-de-recetas.md","Intercambio Internacional de Recetas","Calcula la huella hídrica de tu plato favorito y comparte recetas con otros.","Huella hídrica de recetas.","agua-B08"
"camina-o-usa-bicicleta.md","Camina o usa bicicleta","Camina o usa tu bicicleta para ir a la escuela o al trabajo.","Transporte sostenible.","sacc-A06"
"presentaciones-sobre-desastres-naturales.md","Presentaciones sobre Desastres Naturales","Investiga desastres naturales en diferentes países o regiones y su relación con el hambre.","Investigación sobre desastres naturales y hambre.","hambre-C08"
"juego-de-la-energia.md","Juego de la energía","Juego de movimiento donde los participantes imitan diferentes fuentes de energía mediante acciones divertidas.","Aprende sobre energía jugando.","energia-B03"
"compras-sostenibles.md","Compras Sostenibles","Evalúa las prácticas sostenibles en tu cocina y crea una lista de acciones para mejorar.","Evaluación de prácticas sostenibles en la cocina.","nutricion-D06"
"juego-del-globo.md","El juego del globo","Juego con un globo terráqueo para conectar productos cotidianos con los países de donde provienen.","Conecta productos con sus países de origen.","energia-D05"
"cadenas-alimentarias.md","Cadenas Alimentarias","Investiga las etapas de producción de un alimento y crea una cadena alimentaria con dibujos.","Investigación sobre la producción de alimentos.","hambre-B04"
"necesito-agua-y-tu-tambien.md","Necesito Agua y Tú También","Los participantes exploran la dependencia del agua desde la perspectiva de un animal local, creando un anuncio publicitario para concienciar sobre la importancia de proteger las fuentes de agua.","Crea un anuncio desde la perspectiva de un animal.","agua-E34"
"redd.md","REDD+","Graba un podcast o escribe un artículo para explicar el REDD+, cómo funciona y su potencial para la biodiversidad forestal. Da tu opinión sobre este.","Investigación y comunicación sobre REDD+.","bosques-B16"
"adivinanzas-sobre-el-clima.md","Adivinanzas sobre el clima","Juego de adivinanzas para aprender términos relacionados con el cambio climático de forma divertida.","Juego de adivinanzas sobre términos climáticos.","cambioclimatico-B07"
"carta-al-editor.md","Carta al editor","Redacción de una carta al editor sobre un artículo relacionado con la biodiversidad para publicar en un periódico.","Escribir una carta al editor sobre biodiversidad.","biodiversidad-D28"
"piensa-en-los-alimentos.md","Piensa en los alimentos","Investigación sobre alimentos que podrían desaparecer debido al cambio climático y cómo podemos salvarlos.","Investigar alimentos amenazados por el cambio climático.","cambioclimatico-C08"
"animales-de-la-cuenca.md","Animales de la cuenca hidrográfica","Los participantes investigan animales que viven en su cuenca hidrográfica y crean pósters informativos sobre ellos.","Descubre los animales que viven en tu cuenca.","agua-A41"
"compostaje.md","Compostaje","Aprendizaje sobre el compostaje y creación de un compostador para reducir residuos orgánicos.","Aprender y hacer compostaje.","biodiversidad-C14"
"arte-con-energia-solar.md","Arte con energía solar","Realiza un experimento solar para crear arte usando la energía del Sol y descubre cuánta energía contiene la luz solar.","Crea arte usando el poder del Sol.","energia-B08"
"visita-a-un-apiario.md","Visita a un apiario","Visita a una operación apícola local para aprender sobre el trabajo de los apicultores y el comportamiento de las abejas.","Visitar un apiario local.","polinizadores-A06"
"tour-de-cuenca-de-agua.md","Tour de cuenca de agua","Actividad obligatoria para organizar un tour guiado de la cuenca de agua local y educar a la comunidad.","Organizar un tour guiado de la cuenca de agua.","biodiversidad-B02"
"p-y-r.md","P & R","Prepara preguntas sobre amenazas y RRD, e invita a un experto para responderlas.","Preguntas y respuestas con experto en amenazas.","rrd-B05"
"proyecto-servicio-comunitario-cfn.md","Proyecto de servicio comunitario","Planifica, ejecuta y evalúa un proyecto de servicio comunitario para abordar problemas ambientales relacionados con el consumo responsable o la biodiversidad.","Actúa para proteger el medio ambiente en tu comunidad.","cfn-C01"
"el-futuro-del-agua.md","El Futuro del Agua","Diseña y construye un modelo de una casa o ciudad del futuro que use el agua de manera eficiente.","Modelo de ciudad futurista eficiente en agua.","agua-A16"
"clima-y-salud.md","Clima y salud","Investigación sobre cómo el clima afecta la propagación de enfermedades y cómo el cambio climático impacta la salud humana.","Investigar la relación entre clima y salud.","cambioclimatico-A11"
"aventuras-al-aire-libre.md","Aventuras al Aire Libre","Investiga actividades recreativas en el bosque. Elige tres actividades y crea una guía ilustrada. Lleva a cabo al menos una.","Guía ilustrada de actividades recreativas forestales.","bosques-C04"
"contacto-con-expertos.md","Contacto con expertos","Contacta a expertos en cambio climático y medio ambiente.","Contacto con expertos ambientales.","sacc-C10"
"energia-verde.md","Energía verde","Investiga y promueve la instalación de paneles solares u otros sistemas de energía verde.","Promoción de energía renovable.","sacc-A13"
"dj-por-un-dia.md","'DJ' por un Día","Prepárate para ser DJ de una estación de radio por un día y promueve la lucha contra el hambre.","Radio comunitaria contra el hambre.","hambre-E04"
"aprende-a-conseguir-agua-potable.md","Aprende a Conseguir Agua Potable","Aprende diferentes métodos para potabilizar el agua y hacerla segura para beber.","Métodos para potabilizar agua.","nutricion-C07"
"la-cometa-de-la-alimentacion.md","La Cometa de la Alimentación","Construye una cometa decorada con un deseo para acabar con el hambre y hazla volar para difundir tu mensaje.","Construcción de cometa con mensaje contra el hambre.","hambre-D03"
"visita-a-una-granja-urbana.md","Visita a una granja urbana","Visita a una granja urbana local para conocer cómo contribuye a la ciudad verde y aprender sobre agricultura urbana.","Visitar una granja urbana local.","ciudadesverdes-C03"
"los-centinelas-de-la-salud.md","Los Centinelas de la Salud","Crea una lista de hábitos saludables para tu familia y haz un seguimiento mensual.","Seguimiento de hábitos saludables familiares.","nutricion-A08"
"voluntario-por-los-bosques.md","","","",""
"abogar-por-el-cambio-plastico.md","Abogar por el cambio: plásticos en la comunidad","Escribe una carta a un político o autoridad ambiental local con sugerencias para reducir los residuos plásticos en tu comunidad.","Convierte tus ideas en acción política.","plastics-C07"
"prueba-de-densidad.md","Prueba de densidad","Los participantes realizan experimentos para aprender sobre la salinidad y la densidad del agua, y cómo estas propiedades afectan a los océanos y estuarios.","Experimenta con la densidad del agua.","agua-A44"
"fiesta-de-la-salud.md","Fiesta de la Salud","Organiza un Día de la Salud en tu comunidad con actividades divertidas, juegos olímpicos, concursos y profesionales sanitarios.","Evento comunitario sobre salud y nutrición.","nutricion-A01"
"audita-residuos-plastico.md","Audita tus hábitos de uso de plásticos y averigua a dónde van tus residuos","Los jóvenes auditan su uso de plásticos durante un mes, identifican dónde van sus residuos y se comprometen a reducir su consumo de plásticos en un 50%, documentando su progreso en redes sociales o blogs.","Audita tu plástico y reduce su uso.","plastics-P17"
"tarjetas-sobre-ahorro-de-agua.md","Tarjetas sobre ahorro de agua","Crea tarjetas con datos sobre el ahorro de agua.","Tarjetas educativas sobre agua.","sacc-A16"
"un-clima-que-da-vida.md","Un clima que da vida","Actividad de entrevistas para explorar cómo el clima contribuye a la salud y bienestar de todas las formas de vida.","Entrevistar a miembros de la comunidad sobre la importancia del clima.","cambioclimatico-A08"
"visita-planta-energetica.md","Visita a una planta de energía","Visita un lugar donde se produce energía (parque eólico, presa hidroeléctrica, planta solar) y escribe un artículo periodístico sobre tu experiencia.","Conoce cómo se produce la energía.","energia-B02"
"agua-sin-fronteras.md","Agua sin Fronteras","Aprende sobre las aguas transfronterizas y juega a ser mediador en un conflicto por el agua.","Simulación de conflictos por aguas transfronterizas.","agua-C08"
"los-bosques-y-las-nnuu.md","Los Bosques y las NN.UU.","Aprende sobre dos agencias de las Naciones Unidas que trabajan por los bosques. Comparte tus hallazgos con tu grupo.","Investigación sobre agencias de la ONU relacionadas con bosques.","bosques-B11"
"plantas-medicinales.md","Plantas medicinales","Investigación de plantas medicinales en la comunidad y sus usos tradicionales.","Investigar plantas medicinales locales.","biodiversidad-C17"
"el-manejo-de-los-cultivos.md","El Manejo de los Cultivos","Cultiva plantas en macetas bajo diferentes condiciones de agua y luz para aprender sobre el manejo de cultivos.","Experimento sobre el cuidado de cultivos.","hambre-C04"
"canta-para-la-cena.md","Canta para la Cena","Compón una canción con letra nueva sobre nutrición usando una melodía conocida.","Creación musical sobre nutrición.","nutricion-A04"
"diversidad-en-el-mercado.md","Diversidad en el mercado","Visita a un mercado para identificar ejemplos de diversidad de especies y diversidad genética en alimentos.","Explorar diversidad biológica en el mercado.","biodiversidad-C05"
"planificador-de-comidas.md","Planificador de Comidas","Planifica un menú del día para un compañero, considerando sus necesidades nutricionales y actividad física.","Planificación de menús personalizados.","nutricion-B09"
"tuberias-y-charcos-inteligentes.md","Tuberías y Charcos Inteligentes","Los participantes crean y juegan un juego de mesa para aprender sobre el uso inteligente del agua y cómo las acciones cotidianas afectan la disponibilidad del agua.","Juego de mesa sobre el uso inteligente del agua.","agua-D35"
